beverage,year,month,quantity
Grape 500ml,2021,5,1.596541005291005
Grape 500ml,2021,6,1.710691798941799
Grape 500ml,2021,7,1.9823904186795491
Grape 500ml,2021,8,1.509214492753623
Grape 500ml,2021,9,1.4287640959282262
Grape 500ml,2021,10,1.4981345238095236
Grape 500ml,2021,11,1.4227043650793652
Grape 500ml,2021,12,1.5716448412698407
Grape 500ml,2022,1,1.4219940476190474
Grape 500ml,2022,2,1.4901007936507937
Grape 500ml,2022,3,1.3484265873015873
Grape 500ml,2022,4,1.4268015873015871
Grape 500ml,2022,5,1.6174861111111107
Grape 500ml,2022,6,1.7261369047619044
Grape 500ml,2022,7,1.9646603174603183
Grape 500ml,2022,8,1.6034142857142857
Grape 500ml,2022,9,1.4467753968253967
Grape 500ml,2022,10,1.5543071428571429
Grape 500ml,2022,11,1.3924801587301587
Grape 500ml,2022,12,1.7337049689440986
Grapefruit 500ml,2021,1,0.8459462481962481
Grapefruit 500ml,2021,2,0.8883531746031746
Grapefruit 500ml,2021,3,1.02140873015873
Grapefruit 500ml,2021,4,1.0472341269841268
Grapefruit 500ml,2021,5,1.138311507936508
Grapefruit 500ml,2021,6,1.443422619047619
Grapefruit 500ml,2021,7,1.4995714285714283
Grapefruit 500ml,2021,8,1.327424603174603
Grapefruit 500ml,2021,9,1.1374087301587301
Grapefruit 500ml,2021,10,1.1799027777777775
Grapefruit 500ml,2021,11,1.1996170634920633
Grapefruit 500ml,2021,12,1.0495436507936509
Grapefruit 500ml,2022,1,0.9968492063492063
Grapefruit 500ml,2022,2,1.0375515873015873
Grapefruit 500ml,2022,3,1.083968253968254
Grapefruit 500ml,2022,4,1.0353432539682539
Grapefruit 500ml,2022,5,1.155593253968254
Grapefruit 500ml,2022,6,1.2819940476190477
Grapefruit 500ml,2022,7,1.4190238095238095
Grapefruit 500ml,2022,8,1.2575515873015872
Grapefruit 500ml,2022,9,1.1132777777777778
Grapefruit 500ml,2022,10,1.2156527777777775
Grapefruit 500ml,2022,11,1.2181527777777774
Grapefruit 500ml,2022,12,1.0132876984126986
Sprite 500ml,2021,1,0.9580654761904763
Sprite 500ml,2021,2,1.012565476190476
Sprite 500ml,2021,3,1.052426587301587
Sprite 500ml,2021,4,1.0100515873015874
Sprite 500ml,2021,5,1.137795634920635
Sprite 500ml,2021,6,1.27780753968254
Sprite 500ml,2021,7,1.4370654761904762
Sprite 500ml,2021,8,1.2780992063492065
Sprite 500ml,2021,9,1.1132777777777776
Sprite 500ml,2021,10,1.2156527777777775
Sprite 500ml,2021,11,1.2181527777777774
Sprite 500ml,2021,12,1.0132876984126984
Sprite 500ml,2022,1,0.9968492063492065
Sprite 500ml,2022,2,1.0375515873015873
Sprite 500ml,2022,3,1.092301587301587
Sprite 500ml,2022,4,1.0461765873015871
Sprite 500ml,2022,5,1.1276765873015875
Sprite 500ml,2022,6,1.2682440476190477
Sprite 500ml,2022,7,1.4190238095238095
Sprite 500ml,2022,8,1.2575515873015872
Sprite 500ml,2022,9,1.1132777777777776
Sprite 500ml,2022,10,1.2156527777777775
Sprite 500ml,2022,11,1.2181527777777774
Sprite 500ml,2022,12,1.0486210317460318
Zero Sprite 500ml,2021,1,6.212963293650793
Zero Sprite 500ml,2021,2,5.8888353174603205
Zero Sprite 500ml,2021,3,4.948159722222222
Zero Sprite 500ml,2021,4,4.791000992063492
Zero Sprite 500ml,2021,5,5.704676587301588
Zero Sprite 500ml,2021,6,6.5842619047619015
Zero Sprite 500ml,2021,7,6.226472222222221
Zero Sprite 500ml,2021,8,6.100343253968255
Zero Sprite 500ml,2021,9,6.2554861111111135
Zero Sprite 500ml,2021,10,6.402380230880231
Zero Sprite 500ml,2021,11,6.514648088023088
Zero Sprite 500ml,2021,12,6.15205753968254
Zero Sprite 500ml,2022,1,6.141451659451659
Zero Sprite 500ml,2022,2,5.812195707070707
Zero Sprite 500ml,2022,3,5.203222222222222
Zero Sprite 500ml,2022,4,4.905587301587301
Zero Sprite 500ml,2022,5,6.198003968253968
Zero Sprite 500ml,2022,6,6.423611111111109
Zero Sprite 500ml,2022,7,6.580551587301586
Zero Sprite 500ml,2022,8,5.775341269841269
Zero Sprite 500ml,2022,9,6.097248015873017
Zero Sprite 500ml,2022,10,6.512154040404041
Zero Sprite 500ml,2022,11,6.240344516594519
Zero Sprite 500ml,2022,12,6.60636111111111
sprite lite,2021,1,1.5347561327561325
sprite lite,2021,2,1.4265138888888884
sprite lite,2021,3,1.5302330687830683
sprite lite,2021,4,1.2862374338624338
sprite lite,2021,5,1.6336999424890732
sprite lite,2021,6,1.512167989417989
sprite lite,2021,7,1.8864486197377506
sprite lite,2021,8,1.5231906832298134
sprite lite,2021,9,1.4274367149758453
sprite lite,2021,10,1.4872442546583848
sprite lite,2021,11,1.3861488095238093
sprite lite,2021,12,1.3416249999999998
sprite lite,2022,1,1.2829345238095238
sprite lite,2022,2,1.3430099206349206
sprite lite,2022,3,1.2845138888888885
sprite lite,2022,4,1.1966507936507935
sprite lite,2022,5,1.3639900793650792
sprite lite,2022,6,1.4900575396825395
sprite lite,2022,7,1.648267857142857
sprite lite,2022,8,1.3903214285714283
sprite lite,2022,9,1.3666563492063488
sprite lite,2022,10,1.2284801587301586
sprite lite,2022,11,1.2817242063492063
sprite lite,2022,12,1.1346924603174604
